Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
-0.09828,-0.00206,-0.09823,-7.36E-04,-0.18809,-0.00122
-0.09927,-0.00207,-0.09925,-7.32E-04,-0.18908,-0.00121
-0.1003,-0.00207,-0.10025,-7.44E-04,-0.19009,-0.00121
-0.10131,-0.00207,-0.10126,-7.33E-04,-0.19108,-0.00123
-0.1023,-0.00207,-0.10223,-7.35E-04,-0.19208,-0.00122
-0.10329,-0.00207,-0.10325,-7.51E-04,-0.19308,-0.00122
-0.10428,-0.00207,-0.10425,-7.30E-04,-0.19406,-0.00123
-0.10529,-0.00207,-0.10526,-7.45E-04,-0.19508,-0.00124
-0.1063,-0.00208,-0.10626,-7.37E-04,-0.19607,-0.00122
-0.10728,-0.00206,-0.10725,-7.36E-04,-0.19707,-0.00123
-0.10829,-0.00208,-0.10824,-7.46E-04,-0.19808,-0.00127
-0.1093,-0.00207,-0.10924,-7.39E-04,-0.19908,-0.00125
-0.11031,-0.00208,-0.11026,-7.34E-04,-0.20009,-0.00125
-0.1113,-0.00208,-0.11124,-7.52E-04,-0.20109,-0.00124
-0.11227,-0.00208,-0.11223,-7.31E-04,-0.20209,-0.00126
-0.11328,-0.00208,-0.11325,-7.51E-04,-0.20307,-0.00124
-0.11429,-0.00208,-0.11424,-7.38E-04,-0.20408,-0.00125
-0.11529,-0.00208,-0.11526,-7.43E-04,-0.20509,-0.00132
-0.11629,-0.00209,-0.11624,-7.45E-04,-0.2061,-0.00132
-0.11729,-0.00209,-0.11725,-7.48E-04,-0.20706,-0.00131
-0.11829,-0.00209,-0.11824,-7.49E-04,-0.20807,-0.00132
-0.11931,-0.00209,-0.11926,-7.49E-04,-0.2091,-0.00133
-0.12029,-0.00209,-0.12025,-7.45E-04,-0.2101,-0.00131
-0.12131,-0.0021,-0.12127,-7.54E-04,-0.21109,-0.00129
-0.12227,-0.0021,-0.12223,-7.47E-04,-0.21208,-0.00131
-0.1233,-0.00209,-0.12325,-7.49E-04,-0.21308,-0.00132
-0.12429,-0.00209,-0.12425,-7.50E-04,-0.21408,-0.00132
-0.1253,-0.0021,-0.12524,-7.37E-04,-0.21509,-0.00131
-0.1263,-0.0021,-0.12626,-7.59E-04,-0.21609,-0.00133
-0.12728,-0.00209,-0.12723,-7.28E-04,-0.21706,-0.00137
-0.12829,-0.0021,-0.12825,-7.67E-04,-0.21807,-0.00135
-0.12929,-0.00211,-0.12924,-7.33E-04,-0.21907,-0.00134
-0.13028,-0.0021,-0.13027,-7.64E-04,-0.22007,-0.00136
-0.13127,-0.00211,-0.13124,-7.35E-04,-0.22108,-0.00136
-0.13226,-0.00211,-0.13223,-7.68E-04,-0.22208,-0.00135
-0.13328,-0.00211,-0.13324,-7.41E-04,-0.22308,-0.00136
-0.13428,-0.0021,-0.13425,-7.60E-04,-0.22408,-0.0014
-0.13528,-0.00211,-0.13525,-7.48E-04,-0.22506,-0.00136
-0.13627,-0.00212,-0.13623,-7.55E-04,-0.22608,-0.00137
-0.13726,-0.00213,-0.13724,-7.53E-04,-0.22707,-0.00138
-0.13827,-0.00211,-0.13825,-7.54E-04,-0.22807,-0.00144
-0.13928,-0.00212,-0.13925,-7.50E-04,-0.22907,-0.0014
-0.1403,-0.00212,-0.14024,-7.61E-04,-0.23008,-0.00139
-0.14128,-0.00214,-0.14124,-7.55E-04,-0.23106,-0.00141
-0.14228,-0.00212,-0.14224,-7.58E-04,-0.23207,-0.0014
-0.14329,-0.00212,-0.14327,-7.56E-04,-0.23308,-0.0014
-0.1443,-0.00213,-0.14423,-7.58E-04,-0.23407,-0.00145
-0.14531,-0.00215,-0.14525,-7.71E-04,-0.23508,-0.00146
-0.14631,-0.00213,-0.14625,-7.53E-04,-0.23609,-0.00143
-0.14731,-0.00215,-0.14727,-7.64E-04,-0.2371,-0.00143
-0.1483,-0.00214,-0.14826,-7.57E-04,-0.23807,-0.00147
-0.1493,-0.00215,-0.14927,-7.70E-04,-0.23907,-0.00145
-0.15032,-0.00215,-0.15027,-7.54E-04,-0.24008,-0.00147
-0.1513,-0.00215,-0.15127,-7.66E-04,-0.24108,-0.00149
