Index,Voltage,Concentration
3,0.095149902,0.07807865
3,0.081564202,0.086565518
3,0.069920995,0.090704079
3,0.059939845,0.095040497
3,0.05138508,0.095184445
3,0.044051273,0.095328611
3,0.037764165,0.095472996
3,0.032374369,0.095617599
3,0.027753818,0.095762421
3,0.023792724,0.095907462
3,0.020396967,0.096052723
3,0.017485861,0.096198204
3,0.014990235,0.096343906
3,0.012850791,0.096489828
3,0.011016694,0.096635971
3,0.009444364,0.096782336
3,0.008096441,0.096928922
3,0.006940897,0.09707573
3,0.005950275,0.097222761
3,0.005101036,0.097370014
3,0.004373004,0.09751749
3,0.003748878,0.09766519
3,0.003213829,0.097813113
3,0.002755143,0.097961261
3,0.002361922,0.098109632
3,0.002024823,0.098258229
3,0.001735835,0.098407051
3,0.001488092,0.098556098
3,0.001275708,0.09870537
3,0.001093636,0.098854869
3,0.000937549,0.099004594
3,0.00080374,0.099154546
3,0.000689028,0.099304725
3,0.000590688,0.099455132
3,0.000506384,0.099605766
3,0.000434111,0.099756629
3,0.000372154,0.09990772
3,0.000319039,0.10005904
3,0.000273505,0.100210589
3,0.00023447,0.100362368
3,0.000201006,0.100514376
3,0.000172318,0.100666615
3,0.000147724,0.100819084
3,0.000126641,0.100971784
3,0.000113449,0.101080998
4,10.45748381,1.25E-10
4,8.964965584,1.25E-10
4,7.685463292,1.25E-10
4,6.588549327,1.26E-10
4,5.647931619,1.36E-10
4,4.841657771,1.44E-10
4,4.150500052,1.51E-10
4,3.557883048,1.68E-10
4,3.049892904,1.85E-10
4,2.614321933,2.17E-10
4,2.240957105,2.55E-10
4,1.920825443,3.20E-10
4,1.646381657,4.18E-10
4,1.411084485,5.84E-10
4,1.209354757,8.78E-10
4,1.047894319,1.38E-09
4,0.917999334,2.30E-09
4,0.813087427,3.92E-09
4,0.716215961,6.67E-09
4,0.639400806,1.20E-08
4,0.589428795,2.04E-08
4,0.544693274,3.48E-08
4,0.500211885,5.70E-08
4,0.447848021,1.34E-07
4,0.413836001,2.46E-07
4,0.379414676,4.52E-07
4,0.347304173,8.52E-07
4,0.318411798,1.60E-06
4,0.297022488,2.87E-06
4,0.272743939,5.31E-06
4,0.259311162,7.85E-06
4,0.176487972,9.62E-05
4,0.155031194,0.000168433
4,0.13731534,0.000281951
4,0.118978447,0.000466775
4,0.10196959,0.000698125
4,0.087401386,0.000896449
4,0.074921167,0.001010875
4,0.064226743,0.001047305
4,0.055059292,0.001072859
4,0.047200545,0.001092846
4,0.040463965,0.001094502
4,0.034688847,0.001096159
4,0.029737968,0.00109782
4,0.025493691,0.001099482
4,0.021855168,0.001101148
4,0.018735944,0.001102815
4,0.016061903,0.001104486
4,0.013769508,0.001106159
4,0.011804289,0.001107834
4,0.010119552,0.001109512
4,0.008675264,0.001111192
4,0.007437109,0.001112875
4,0.006375814,0.001077421
4,0.005465863,0.001072975
4,0.004685761,0.0010746
4,0.004016998,0.001076228
4,0.003443682,0.001077858
4,0.002952191,0.00107949
4,0.002530847,0.001081125
4,0.002169638,0.001082763
4,0.001859982,0.001084403
4,0.001594545,0.001061783
4,0.00136702,0.001004991
4,0.001171916,0.001006513
4,0.001004677,0.000979967
4,0.000861317,0.000932805
4,0.000738416,0.000882912
4,0.000633054,0.000830981
4,0.000542737,0.000760324
4,0.000465315,0.000672494
4,0.000398946,0.000578246
4,0.000342059,0.000464622
4,0.000293297,0.00034886
4,0.000251507,0.000232641
4,0.000218078,0.000134441
4,0.000193298,7.78E-05
4,0.000169462,4.41E-05
4,0.000145306,3.26E-05
4,0.000124575,2.98E-05
4,0.000112835,2.93E-05
5,10.34224801,0.001366957
5,8.86617653,0.001369028
5,2.168709333,0.001779742
5,1.859092405,0.001918246
5,1.593653489,0.002114773
5,1.366108339,0.002344641
5,1.171025431,0.002689103
5,1.003789111,0.003136879
5,0.860412868,0.003806796
5,0.737501537,0.004752114
5,0.632138521,0.006067732
5,0.54181562,0.008014646
5,0.464398477,0.010586254
5,0.398049204,0.013670612
5,0.341183297,0.01735699
5,0.292452631,0.020827162
5,0.250690798,0.023752433
5,0.214897476,0.02618591
5,0.188307777,0.029857386
5,0.144624792,0.027658938
